(VOID,'void', Line: 2 Char: 0)
(IDENTIFIER,'main', Line: 2 Char: 5)
(LPAREN,'(', Line: 2 Char: 9)
(RPAREN,')', Line: 2 Char: 10)
(LBRACE,'{', Line: 2 Char: 12)
(INT,'int', Line: 3 Char: 4)
(IDENTIFIER,'x', Line: 3 Char: 8)
(ASSIGN,'=', Line: 3 Char: 10)
(NUMBER,'1', Line: 3 Char: 12)
(SEMICOLON,';', Line: 3 Char: 13)
(INT,'int', Line: 4 Char: 4)
(IDENTIFIER,'y', Line: 4 Char: 8)
(ASSIGN,'=', Line: 4 Char: 10)
(NUMBER,'2', Line: 4 Char: 12)
(PLUS,'+', Line: 4 Char: 14)
(IDENTIFIER,'x', Line: 4 Char: 16)
(SEMICOLON,';', Line: 4 Char: 17)
(WHILE,'while', Line: 5 Char: 4)
(LPAREN,'(', Line: 5 Char: 9)
(IDENTIFIER,'y', Line: 5 Char: 10)
(LESSTHAN,'<', Line: 5 Char: 12)
(NUMBER,'10', Line: 5 Char: 14)
(RPAREN,')', Line: 5 Char: 16)
(LBRACE,'{', Line: 5 Char: 17)
(IDENTIFIER,'y', Line: 6 Char: 8)
(INCREMENT,'++', Line: 6 Char: 9)
(SEMICOLON,';', Line: 6 Char: 11)
(RBRACE,'}', Line: 7 Char: 4)
(RETURN,'return', Line: 8 Char: 4)
(NUMBER,'0', Line: 8 Char: 11)
(SEMICOLON,';', Line: 8 Char: 12)
(RBRACE,'}', Line: 9 Char: 0)
(EOF,'', Line: 9 Char: 1)
